"Story","Title","Result","Date","Stability","Duration (s)"
"As a user on login page","User input valid email and password","ERROR","2022-06-15T00:28:16.6028048+07:00[Asia/Bangkok]","0.0","26.67"
"As a user on register page","User register with valid data","ERROR","2022-06-15T00:28:43.3015188+07:00[Asia/Bangkok]","0.0","19.75"
